Ch	LOCODE	Name	NameWoDiacritics	SubDiv	Function	Status	Date	IATA	Coordinates	Remarks
 	US  AJP 	Allenport 	Allenport 	PA 	--3----- 	RL 	1201 	 	4022N 07752W 	 
 	US  ATX 	Allenstown 	Allenstown 	NH 	123--6-- 	RL 	0601 	 	4308N 07127W 	 
 	US  AWF 	Allensworth 	Allensworth 	CA 	--3----- 	AA 	1507 	 	3551N 11923W 	 
 	US  QWU 	Allenton 	Allenton 	NC 	----5--- 	RL 	0901 	 	3435N 07855W 	 
 	US  ZAG 	Allenton 	Allenton 	WI 	-----6-- 	RL 	0901 	 	4325N 08820W 	 
 	US  AWN 	Allentown 	Allentown 	PA 	--3----- 	RL 	0401 	ABE 	4036N 07528W 	 
 	US  AEW 	Allentown 	Allentown 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  AT2 	Allentown, Allegany 	Allentown, Allegany 	NY 	--3----- 	RL 	0607 	 	4205N 07804W 	 
 	US  AZW 	Allenwood 	Allenwood 	PA 	-23----- 	RL 	0901 	 	4106N 07654W 	 
 	US  AWO 	Allenwood 	Allenwood 	NJ 	--3--6-- 	RL 	0501 	 	4008N 07406W 	 
 	US  ALT 	Allerton 	Allerton 	IA 	--3----- 	RQ 	9307 	 	 	 
 	US  AIA 	Alliance 	Alliance 	NE 	--34---- 	RQ 	9008 	 	 	 
 	US  AIH 	Alliance 	Alliance 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  AL3 	Alliance 	Alliance 	LA 	1------- 	RL 	0901 	 	3131N 09339W 	 
 	US  IXS 	Allison 	Allison 	TX 	--3----- 	RL 	1201 	 	3536N 10006W 	 
 	US  ALK 	Allison Park 	Allison Park 	PA 	--3----- 	RQ 	9501 	 	 	 
 	US  AOY 	Alloy 	Alloy 	WV 	--3----- 	RQ 	9307 	 	 	 
 	US  XBE 	Allston 	Allston 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  AY3 	Allyn 	Allyn 	WA 	--3----- 	RL 	1207 	 	4723N 12249W 	 
 	US  AM6 	Alma 	Alma 	KS 	--3----- 	RL 	1401 	 	3901N 09617W 	 
 	US  XAM 	Alma 	Alma 	WI 	123----- 	RL 	0901 	 	4419N 09155W 	 
 	US  RAA 	Alma 	Alma 	AR 	--3----- 	RL 	0501 	 	3528N 09413W 	 
 	US  AMQ 	Alma 	Alma 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  AM2 	Alma 	Alma 	CO 	--3----- 	RL 	1207 	 	3917N 10603W 	 
 	US  AMN 	Alma 	Alma 	MI 	--34---- 	AI 	9601 	 	 	 
 	US  AO5 	Almond 	Almond 	WI 	--3----- 	RL 	1501 	 	4415N 08924W 	 
 	US  ATJ 	Almont 	Almont 	MI 	--3--6-- 	RL 	0607 	 	4255N 08303W 	 
 	US  AHA 	Aloha 	Aloha 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  ZON 	Alorton 	Alorton 	IL 	--3----- 	RL 	0212 	 	3835N 09007W 	 
 	US  A3P 	Alpaugh 	Alpaugh 	CA 	--3----- 	RL 	1301 	 	3553N 11929W 	 
 	US  A4P 	Alpena 	Alpena 	SD 	--3----- 	RL 	1301 	 	4410N 09821W 	 
 	US  APN 	Alpena 	Alpena 	MI 	---4---- 	AI 	0001 	 	 	 
 	US  AJQ 	Alpha 	Alpha 	IL 	--3--6-- 	RQ 	0907 	 	4112N 09023W 	 
 	US  ALP 	Alpha 	Alpha 	OH 	--3----- 	RL 	0212 	 	3943N 08401W 	 
 	US  APA 	Alpha 	Alpha 	NJ 	-23--6-- 	RL 	0607 	 	4039N 07509W 	 
 	US  AAI 	Alpharetta 	Alpharetta 	GA 	--3----- 	RL 	0401 	 	3404N 08417W 	 
 	US  APL 	Alpine 	Alpine 	AL 	--3----- 	RQ 	9307 	 	 	 
 	US  AP5 	Alpine 	Alpine 	WY 	--3----- 	RL 	1301 	 	4310N 11102W 	 
 	US  AP2 	Alpine 	Alpine 	UT 	--3----- 	RL 	1407 	 	4027N 11146W 	 
 	US  ALE 	Alpine 	Alpine 	TX 	---4---- 	AI 	0001 	 	 	 
 	US  APY 	Alpine 	Alpine 	NJ 	1-3--6-- 	RL 	0701 	 	4057N 07356W 	 
 	US  ZJI 	Alpine, Los Angeles 	Alpine, Los Angeles 	CA 	-23--6-- 	RL 	0901 	 	3432N 11806W 	 
 	US  JIN 	Alpine, San Diego 	Alpine, San Diego 	CA 	--3----- 	RL 	0901 	 	3250N 11646W 	 
 	US  AEN 	Alsen 	Alsen 	NY 	--3----- 	RQ 	9506 	 	 	 
 	US  UBC 	Alsip 	Alsip 	IL 	--3----- 	RQ 	9008 	 	 	 
 	US  AFA 	Alstead 	Alstead 	NH 	1-3--6-- 	RL 	0601 	 	4309N 07222W 	 
 	US  AJL 	Alta 	Alta 	CA 	--3----- 	RL 	0701 	 	3912N 12048W 	 
 	US  TUU 	Alta 	Alta 	WY 	-----6-- 	RL 	0901 	 	4345N 11102W 	 
 	US  XBO 	Alta 	Alta 	UT 	--3----- 	RQ 	9307 	 	 	 
 	US  AJM 	Alta Loma 	Alta Loma 	TX 	--3----- 	RL 	0701 	 	2922N 09505W 	 
 	US  TAJ 	Alta Loma 	Alta Loma 	CA 	1----6-- 	RQ 	1001 	 	3407N 11735W 	 
 	US  AV3 	Alta Vista 	Alta Vista 	KS 	--3----- 	RQ 	1001 	 	3851N 09629W 	 
 	US  AZA 	Altadena 	Altadena 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  UBD 	Altamahaw 	Altamahaw 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  ZTM 	Altamont 	Altamont 	NY 	--3----- 	RL 	1201 	 	4242N 07402W 	 
 	US  TMO 	Altamont 	Altamont 	UT 	--3----- 	RL 	0607 	 	4021N 11017W 	 
 	US  A7L 	Altamont 	Altamont 	KS 	--3----- 	RL 	1301 	 	3711N 09517W 	 
 	US  AM7 	Altamont 	Altamont 	TN 	--3----- 	RL 	0901 	 	3525N 08543W 	 
 	US  AZN 	Altamont 	Altamont 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  ASP 	Altamonte Springs 	Altamonte Springs 	FL 	--3----- 	RQ 	9307 	 	 	 
 	US  PSQ 	Altapass 	Altapass 	NC 	--3----- 	RL 	1301 	 	3553N 08201W 	 
 	US  ATV 	Altavista 	Altavista 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  GUA 	Altenburg 	Altenburg 	MO 	--3--6-- 	RL 	0601 	 	3738N 08935W 	 
 	US  A7H 	Altha 	Altha 	FL 	--3----- 	RL 	1501 	 	3034N 08507W 	 
 	US  TMR 	Altheimer 	Altheimer 	AR 	-23--6-- 	RL 	0601 	 	3419N 09151W 	 
 	US  AO2 	Alto 	Alto 	MI 	--3----- 	RL 	1307 	 	4251N 08522W 	 
 	US  AOQ 	Alto 	Alto 	GA 	-23--6-- 	RL 	0601 	 	3428N 08334W 	 
 	US  ONB 	Alton 	Alton 	VA 	-23--6-- 	RL 	0601 	 	3634N 07900W 	 
 	US  A4L 	Alton 	Alton 	MO 	--3----- 	RL 	1301 	 	3641N 09123W 	 
 	US  ALN 	Alton 	Alton 	IL 	--34---- 	AI 	9601 	 	 	 
 	US  KLQ 	Alton 	Alton 	NY 	--3----- 	RL 	0901 	 	4312N 07659W 	 
 	US  A7B 	Alton Bay 	Alton Bay 	NH 	--3----- 	AA 	1507 	 	4328N 07114W 	 
 	US  AOO 	Altoona 	Altoona 	PA 	--3----- 	RL 	0201 	 	4029N 07824W 	 
 	US  AZP 	Altoona 	Altoona 	WI 	--3----- 	RQ 	9307 	 	 	 
 	US  AZQ 	Altoona 	Altoona 	FL 	--3----- 	RQ 	9307 	 	 	 
 	US  NOF 	Altoona 	Altoona 	IA 	-23----- 	RL 	0601 	 	4138N 09328W 	 
 	US  AXU 	Altura 	Altura 	MN 	--3----- 	RL 	0901 	 	4404N 09156W 	 
 	US  ZIF 	Alturas 	Alturas 	CA 	-23----- 	RL 	0601 	 	4130N 12032W 	 
 	US  AZX 	Altus 	Altus 	AR 	--3----- 	RQ 	9307 	 	 	 
 	US  LTS 	Altus 	Altus 	OK 	--34---- 	AI 	9601 	 	 	 
 	US  QAB 	Alum Bank 	Alum Bank 	PA 	--3----- 	RL 	0212 	 	4011N 07837W 	 
 	US  AZT 	Alum Rock 	Alum Rock 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  ALF 	Alva 	Alva 	FL 	--3----- 	RL 	0212 	 	2642N 08136W 	 
 	US  AV6 	Alva 	Alva 	WY 	--3----- 	RQ 	0907 	 	4441N 10426W 	 
 	US  XAK 	Alva 	Alva 	OK 	1------- 	RL 	0207 	 	3648N 09839W 	 
 	US  AV8 	Alvada 	Alvada 	OH 	--3----- 	RL 	0901 	 	4103N 08324W 	 
 	US  ZAD 	Alvarado 	Alvarado 	TX 	1------- 	RL 	1501 	 	3224N 09712W 	 
 	US  AZB 	Alvarado 	Alvarado 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  AR2 	Alvarado 	Alvarado 	MN 	-----6-- 	RQ 	1007 	 	4811N 09659W 	 
 	US  A2T 	Alvaton 	Alvaton 	GA 	-23----- 	RL 	0901 	 	3310N 08435W 	 
 	US  AZC 	Alvin 	Alvin 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  AZD 	Alviso 	Alviso 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  AV5 	Alvordton 	Alvordton 	OH 	-----6-- 	RL 	1107 	 	4139N 08426W 	 
 	US  AQY 	Alyeska 	Alyeska 	AK 	--34---- 	AI 	9601 	 	 	 
 	US  AMD 	Ama 	Ama 	LA 	--3--6-- 	RL 	0401 	 	2957N 09017W 	 
 	US  AZ6 	Amado 	Amado 	AZ 	--3----- 	RL 	1407 	 	3142N 11103W 	 
 	US  AA6 	Amador 	Amador 	IA 	--3----- 	RL 	0607 	 	3825N 12049W 	 
 	US  AMF 	Amagansett 	Amagansett 	NY 	123----- 	RL 	0601 	 	4058N 07209W 	 
 	US  UBG 	Amana 	Amana 	IA 	--3----- 	RQ 	9307 	 	 	 
 	US  AP4 	Amanda Park 	Amanda Park 	WA 	--3----- 	RL 	1207 	 	4727N 12353W 	 
 	US  AGY 	Amargosa Valley 	Amargosa Valley 	NV 	--3----- 	RL 	0607 	 	3638N 11624W 	 
 	US  AMA 	Amarillo 	Amarillo 	TX 	---4---- 	AI 	0001 	 	 	 
 	US  AMM 	Amasa 	Amasa 	MI 	--3----- 	RL 	0201 	 	4613N 08827W 	 
+ 	US  2AA 	Ambia 	Ambia 	IN 	--3----- 	RL 	1601 	 	4029N 08731W 	 
 	US  ABL 	Ambler 	Ambler 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AMR 	Ambler 	Ambler 	PA 	--3----- 	RQ 	9601 	 	 	 
 	US  AMY 	Amboy 	Amboy 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  OPP 	Amboy 	Amboy 	CA 	--3--6-- 	RQ 	0907 	 	3433N 11544W 	 
 	US  UBF 	Ambridge 	Ambridge 	PA 	--3----- 	RQ 	9008 	 	 	 
 	US  AMB 	Ambrose 	Ambrose 	ND 	--3----B 	RL 	0106 	 	4857N 10329W 	 
 	US  SBR 	Ambrose 	Ambrose 	GA 	-23--6-- 	RL 	0601 	 	3135N 08300W 	 
 	US  QHH 	Ambrose Channel Light 	Ambrose Channel Light 	NJ 	1------- 	RQ 	1201 	 	4027N 07350W 	 
 	US  AHT 	Amchitka 	Amchitka 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AEI 	Amelia 	Amelia 	LA 	-23----- 	RL 	0401 	 	2939N 09106W 	 
 	US  AML 	Amelia 	Amelia 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  OHM 	Amelia 	Amelia 	OH 	--3--6-- 	RL 	0401 	 	3901N 08413W 	 
 	US  XXS 	Amelia 	Amelia 	TX 	-23----- 	RL 	0901 	 	3004N 09411W 	 
 	US  ALC 	Amelia City 	Amelia City 	FL 	1-3--6-- 	RL 	0701 	 	3035N 08127W 	 
 	US  AD6 	Amelia Island 	Amelia Island 	FL 	--3----- 	RL 	0901 	 	3036N 08127W 	 
 	US  ACY 	American Canyon 	American Canyon 	CA 	--3----- 	RL 	0201 	 	3810N 12215W 	 
 	US  YAF 	American Falls 	American Falls 	ID 	--3----- 	RL 	0212 	 	4247N 11251W 	 
 	US  ZAF 	American Fork 	American Fork 	UT 	--3----- 	RL 	0212 	 	4023N 11148W 	 
 	US  AMU 	Americus 	Americus 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  AHH 	Amery 	Amery 	WI 	--34---- 	AI 	9601 	 	 	 
 	US  AMW 	Ames 	Ames 	IA 	--34---- 	AI 	9601 	 	 	 
 	US  QEA 	Ames 	Ames 	TX 	----5--- 	RL 	0901 	 	3003N 09444W 	 
 	US  AMX 	Amesbury 	Amesbury 	MA 	--3----- 	RL 	0212 	 	4250N 07056W 	 
 	US  YAM 	Amherst 	Amherst 	MA 	--3----- 	RL 	0212 	 	4223N 07231W 	 
 	US  ZAH 	Amherst 	Amherst 	OH 	--3----- 	RL 	0212 	 	4124N 08213W 	 
 	US  XWI 	Amherst 	Amherst 	WI 	-23--6-- 	RL 	0901 	 	4427N 08917W 	 
 	US  XSF 	Amherst 	Amherst 	TX 	--3----- 	RL 	1401 	 	3343N 09528W 	 
 	US  AMH 	Amherst 	Amherst 	NY 	--3----- 	RQ 	9008 	 	 	 
 	US  AHR 	Amherst 	Amherst 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  7AH 	Amherst 	Amherst 	ME 	--3----- 	RL 	1301 	 	4450N 06821W 	 
 	US  ZAM 	Amherst 	Amherst 	SD 	--3--6-- 	RL 	0901 	 	4544N 09755W 	 
 	US  UBI 	Amherst 	Amherst 	NH 	--3----- 	RQ 	9307 	 	 	 
 	US  UBH 	Amite 	Amite 	LA 	--3----- 	RQ 	9307 	 	 	 
 	US  AMJ 	Amity 	Amity 	OR 	--3----- 	RL 	0212 	 	4507N 12312W 	 
 	US  AYZ 	Amityville 	Amityville 	NY 	--34---- 	AI 	9601 	 	 	 
 	US  AM9 	Amlin 	Amlin 	OH 	--3----- 	RL 	1501 	 	4004N 08310W 	 
 	US  AM5 	Ammon 	Ammon 	ID 	--3----- 	RL 	1501 	 	4328N 11158W 	 
 	US  AOS 	Amook 	Amook 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  ARY 	Amory 	Amory 	MS 	--3----- 	RQ 	9307 	 	 	 
 	US  XBD 	Ampthill 	Ampthill 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  AMS 	Amsterdam 	Amsterdam 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  A4N 	Anaconda 	Anaconda 	MT 	--3----- 	RL 	1301 	 	4607N 11256W 	 
 	US  OTS 	Anacortes 	Anacortes 	WA 	--34---- 	AI 	9601 	 	 	 
 	US  NDV 	Anacostia 	Anacostia 	DC 	---4---- 	AI 	0001 	 	 	 
 	US  NKO 	Anadarko 	Anadarko 	OK 	1------- 	RL 	0207 	 	3504N 09814W 	 
 	US  ANA 	Anaheim 	Anaheim 	CA 	--34---- 	AI 	0507 	 	3350N 11754W 	 
 	US  AQH 	Anahuac 	Anahuac 	TX 	--3----- 	RL 	0901 	 	2946N 09441W 	 
 	US  AKP 	Anaktuvuk 	Anaktuvuk 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AQF 	Anamoose 	Anamoose 	ND 	--3----- 	RL 	0701 	 	4752N 10014W 	 
 	US  AAB 	Anamosa 	Anamosa 	IA 	--3----- 	RQ 	0607 	 	4263N 09117W 	 
 	US  ACP 	Anchor Point 	Anchor Point 	AK 	--3----- 	RQ 	9307 	 	 	 
 	US  ANC 	Anchorage 	Anchorage 	AK 	1--45--- 	AI 	0001 	 	 	 
 	US  AHF 	Anchorville 	Anchorville 	MI 	--3----- 	RL 	0901 	 	4241N 08241W 	 
 	US  ACQ 	Ancram 	Ancram 	NY 	1-3--6-- 	RL 	0601 	 	4203N 07338W 	 
 	US  A3D 	Andale 	Andale 	KS 	--3----- 	RL 	1401 	 	3747N 09737W 	 
 	US  ADL 	Andalusia 	Andalusia 	AL 	--3----- 	RQ 	9307 	 	 	 
 	US  USQ 	Andalusia 	Andalusia 	IL 	--3-5--- 	RL 	1401 	 	4126N 09043W 	 
 	US  HJG 	Anderson 	Anderson 	CA 	--3-5--- 	RL 	0901 	 	4026N 12217W 	 
 	US  NDE 	Anderson 	Anderson 	NY 	--3----- 	RL 	0701 	 	4154N 07442W 	 
 	US  DQO 	Anderson 	Anderson 	OH 	--3----- 	RL 	1301 	 	4123N 08231W 	 
 	US  ANE 	Anderson 	Anderson 	AL 	--3----- 	RQ 	9307 	 	 	 
 	US  AND 	Anderson 	Anderson 	SC 	--34---- 	RQ 	9008 	 	 	 
 	US  AID 	Anderson 	Anderson 	IN 	--34---- 	AI 	9601 	 	 	 
 	US  ANO 	Anderson 	Anderson 	MO 	--3----- 	RL 	0207 	 	3639N 09426W 	 
 	US  AEQ 	Anderson City 	Anderson City 	GA 	--3--6-- 	RL 	0601 	 	3122N 08351W 	 
 	US  AOZ 	Andersonville 	Andersonville 	TN 	--3----- 	RL 	0501 	 	3611N 08402W 	 
 	US  UBK 	Andersonville 	Andersonville 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  AJS 	Andes 	Andes 	NY 	--3----- 	RL 	0701 	 	4211N 07447W 	 
 	US  AJR 	Andover 	Andover 	SD 	-23----- 	RL 	0607 	 	4524N 09754W 	 
 	US  T3G 	Andover 	Andover 	NH 	--3----- 	RL 	1501 	 	4326N 07149W 	 
 	US  AXZ 	Andover 	Andover 	KS 	1----6-- 	RL 	0901 	 	3742N 09708W 	 
 	US  AR3 	Andover 	Andover 	OH 	-----6-- 	RQ 	1007 	 	4136N 08034W 	 
 	US  ANR 	Andover 	Andover 	MA 	--3----- 	RQ 	9307 	 	 	 
+ 	US  AN8 	Andover 	Andover 	NY 	--3----- 	RL 	1601 	 	4209N 07747W 	 
 	US  AD7 	Andover 	Andover 	MN 	--3----- 	RL 	0901 	 	4514N 09317W 	 
 	US  AN9 	Andover 	Andover 	NJ 	--3----- 	RL 	0901 	 	4059N 07444W 	 
 	US  ANU 	Andrade 	Andrade 	CA 	--3----B 	RL 	0106 	 	3243N 11443W 	 
 	US  DGQ 	Andreas 	Andreas 	PA 	--3----- 	RL 	1401 	 	4045N 07547W 	 
 	US  UBO 	Andrews 	Andrews 	TX 	--34---- 	RQ 	9008 	 	 	 
 	US  ANF 	Andrews 	Andrews 	IN 	--3----- 	RL 	0212 	 	4052N 08536W 	 
 	US  AGM 	Andrews 	Andrews 	NC 	-23----- 	RL 	0407 	 	3512N 08349W 	 
 	US  ADR 	Andrews 	Andrews 	SC 	--34---- 	RQ 	9008 	 	 	 
 	US  AS3 	Andrews AFB 	Andrews AFB 	MD 	-----6-- 	RQ 	1007 	 	3847N 07652W 	 
 	US  AXX 	Angel Fire 	Angel Fire 	NM 	---4---- 	AI 	0001 	 	 	 
 	US  A2O 	Angeles Oaks 	Angeles Oaks 	CA 	--3----- 	RL 	1207 	 	3408N 11658W 	 
 	US  AJC 	Angelica 	Angelica 	NY 	--3----- 	RL 	0701 	 	4218N 07801W 	 
 	US  4NV 	Angels Camp 	Angels Camp 	CA 	--3----- 	RL 	1407 	 	3804N 12032W 	 
 	US  ANG 	Angier 	Angier 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  AGX 	Angleton 	Angleton 	TX 	-23----- 	RL 	0601 	 	2910N 09526W 	 
 	US  ANH 	Angola 	Angola 	NY 	--3----- 	RL 	0307 	 	4238N 07901W 	 
 	US  ANQ 	Angola 	Angola 	IN 	--34---- 	AI 	9601 	 	 	 
 	US  ZAI 	Angola 	Angola 	LA 	-----6-- 	RL 	0901 	 	3057N 09134W 	 
 	US  AGN 	Angoon 	Angoon 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  RFK 	Anguilla 	Anguilla 	MS 	---4---- 	AI 	0001 	 	 	 
 	US  AWG 	Angwin 	Angwin 	CA 	--3----- 	RL 	0901 	 	3834N 12226W 	 
 	US  ANI 	Aniak 	Aniak 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AM3 	Animas 	Animas 	NM 	--3----- 	RL 	1307 	 	3156N 10848W 	 
 	US  NAJ 	Anita 	Anita 	IA 	--3----- 	RL 	1107 	 	4126N 09445W 	 
 	US  AIB 	Anita Bay 	Anita Bay 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AKE 	Ankeny 	Ankeny 	IA 	--3----- 	RQ 	9307 	 	 	 
 	US  ANM 	Anmoore 	Anmoore 	WV 	--3----- 	RL 	0401 	 	3915N 08017W 	 
 	US  ARB 	Ann Arbor 	Ann Arbor 	MI 	1--4---- 	AI 	0001 	 	 	 
 	US  BK6 	Anna 	Anna 	TX 	--3----- 	RL 	1301 	 	3320N 09632W 	 
 	US  NNA 	Anna 	Anna 	OH 	-23--6-- 	RL 	0401 	 	4023N 08410W 	 
 	US  YRU 	Anna 	Anna 	IL 	----5--- 	RL 	1401 	 	3727N 08914W 	 
 	US  A7N 	Annandale 	Annandale 	NJ 	--3----- 	RL 	1301 	 	4038N 07452W 	 
 	US  AJA 	Annandale 	Annandale 	VA 	--3----- 	RL 	0701 	 	3849N 07711W 	 
 	US  XAT 	Annandale 	Annandale 	MN 	-23----- 	RL 	0601 	 	4515N 09408W 	 
 	US  DHD 	Annandale-on-Hudson 	Annandale-on-Hudson 	NY 	--3----- 	RL 	1201 	 	4200N 07354W 	 
 	US  AM4 	Annapolis 	Annapolis 	MO 	--3----- 	RL 	1401 	 	3721N 09041W 	 
 	US  ANP 	Annapolis 	Annapolis 	MD 	1--4---- 	AI 	0001 	 	 	 
 	US  QAJ 	Annapolis Junction 	Annapolis Junction 	MD 	--3----- 	RL 	1407 	 	3912N 07650W 	 
 	US  ANN 	Annette Island 	Annette Island 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  NQH 	Annisquam Harbour 	Annisquam Harbour 	MA 	1------- 	RL 	1201 	 	4240N 07041W 	 
 	US  ANB 	Anniston 	Anniston 	AL 	--34---- 	RQ 	9008 	 	 	 
 	US  NNT 	Anniston 	Anniston 	MO 	-23--6-- 	RL 	0601 	 	3649N 08920W 	 
 	US  A5N 	Annona 	Annona 	TX 	--3----- 	RL 	1301 	 	3334N 09454W 	 
 	US  AIL 	Annville 	Annville 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  VVY 	Annville 	Annville 	KY 	--3----- 	RL 	0901 	 	3719N 08358W 	 
 	US  ANK 	Anoka 	Anoka 	MN 	--3----- 	RQ 	9307 	 	 	 
 	US  ANS 	Ansonia 	Ansonia 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  AQZ 	Ansonia 	Ansonia 	CT 	-23----- 	RL 	0212 	 	4121N 07305W 	 
 	US  VFR 	Ansonville 	Ansonville 	NC 	1----6-- 	RL 	0901 	 	3506N 08006W 	 
 	US  QTP 	Antelope 	Antelope 	CA 	--3----- 	RL 	1207 	 	3842N 12119W 	 
 	US  AJH 	Anthem 	Anthem 	AZ 	--3----- 	RQ 	0607 	 	 	 
 	US  ANY 	Anthony 	Anthony 	KS 	---4---- 	AI 	0001 	 	 	 
 	US  UBM 	Anthony 	Anthony 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  AT7 	Anthony 	Anthony 	FL 	--3----- 	RL 	1501 	 	2917N 08206W 	 
 	US  TNY 	Anthony 	Anthony 	NM 	--3----- 	RL 	0701 	 	3200N 10636W 	 
 	US  UBN 	Antigo 	Antigo 	WI 	--3----- 	RQ 	9008 	 	 	 
 	US  ANZ 	Antioch 	Antioch 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  TIH 	Antioch 	Antioch 	IL 	--3--6-- 	RL 	0407 	 	4228N 08805W 	 
 	US  TIO 	Antioch 	Antioch 	TN 	--3----- 	RL 	0401 	 	3547N 08858W 	County Bedford 
 	US  ANT 	Antler 	Antler 	ND 	--3----B 	RL 	0106 	 	4858N 10117W 	 
 	US  ATE 	Antlers 	Antlers 	OK 	---4---- 	AI 	0001 	 	 	 
 	US  ANX 	Antonia 	Antonia 	MO 	--3----- 	RL 	0401 	 	3821N 09027W 	 
 	US  ZJK 	Antonito 	Antonito 	CO 	--3----- 	RL 	0901 	 	3704N 10600W 	 
 	US  AH3 	Antrim 	Antrim 	NH 	--3----- 	RL 	1301 	 	4301N 07156W 	 
 	US  A6N 	Antwerp 	Antwerp 	NY 	--3----- 	RL 	1407 	 	4411N 07536W 	 
 	US  ZAQ 	Antwerp 	Antwerp 	OH 	-----6-- 	RL 	0901 	 	4110N 08444W 	 
 	US  ANV 	Anvik 	Anvik 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  AKG 	Anza 	Anza 	CA 	--3----- 	RL 	1407 	 	3333N 11640W 	 
 	US  A77 	Apache 	Apache 	OK 	--3----- 	RL 	1407 	 	3453N 09821W 	 
 	US  APJ 	Apache Junction 	Apache Junction 	AZ 	--3----- 	RQ 	9307 	 	 	 
 	US  AAF 	Apalachicola 	Apalachicola 	FL 	1--4---- 	AI 	0001 	 	 	 
 	US  API 	Apalachin 	Apalachin 	NY 	--3----- 	RL 	0407 	 	4204N 07609W 	 
 	US  APX 	Apex 	Apex 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  ZAP 	Apollo 	Apollo 	PA 	--3----- 	RL 	0212 	 	4035N 07934W 	 
 	US  ZAB 	Apollo Beach 	Apollo Beach 	FL 	--3----- 	RL 	0701 	 	2746N 08224W 	 
 	US  AOP 	Apopka 	Apopka 	FL 	--3----- 	RQ 	9506 	 	 	 
 	US  XAV 	Appalachia 	Appalachia 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  APQ 	Apple Creek 	Apple Creek 	OH 	--3----- 	RL 	0901 	 	4045N 08150W 	 
 	US  XAU 	Apple Grove 	Apple Grove 	WV 	--3----- 	RQ 	9307 	 	 	 
 	US  APV 	Apple Valley 	Apple Valley 	CA 	--34---- 	AI 	9601 	 	 	 
 	US  YAW 	Apple Valley 	Apple Valley 	MN 	--3--6-- 	RL 	0601 	 	4444N 09313W 	 
 	US  APR 	Applegarth 	Applegarth 	NJ 	--3----- 	RL 	0701 	 	4017N 07428W 	 
 	US  YPL 	Applegate 	Applegate 	OR 	--3----- 	RL 	1407 	 	4215N 12310W 	 
 	US  APP 	Appleton 	Appleton 	MN 	--3----- 	RQ 	9501 	 	 	 
 	US  AUP 	Appleton 	Appleton 	NY 	-----6-- 	RL 	1201 	 	4319N 07839W 	 
 	US  ATW 	Appleton 	Appleton 	WI 	1--4---- 	AI 	0001 	 	 	 
 	US  AP7 	Appling 	Appling 	GA 	--3----- 	RL 	1307 	 	3332N 08218W 	 
 	US  XAX 	Appomattox 	Appomattox 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  APO 	Aptos 	Aptos 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  AQO 	Aquebogue 	Aquebogue 	NY 	-23--6-- 	RL 	0507 	 	4056N 07237W 	 
 	US  RAB 	Arab 	Arab 	AL 	--3----- 	RQ 	9705 	 	 	 
 	US  AJF 	Arabi 	Arabi 	GA 	--3----- 	RL 	0701 	 	3150N 08344W 	 
 	US  AQX 	Arabi 	Arabi 	LA 	--3----- 	RQ 	9307 	 	 	 
 	US  YGN 	Aragon 	Aragon 	GA 	--3----- 	RQ 	1001 	 	3402N 08503W 	 
 	US  RG4 	Aragonite 	Aragonite 	UT 	--3----- 	RL 	1501 	 	4044N 11300W 	 
 	US  YAS 	Aransas Pass 	Aransas Pass 	TX 	123--6-- 	RL 	0601 	 	2754N 09709W 	 
